Employee_ID,Department,Salary,Years_Experience,Evaluation_Score,Bonus,First_Name,Last_Name,Performance_Level
101,IT,85000.0,5,88,5000.0,John,Doe,High
102,HR,60000.0,3,72,3000.0,Jane,Smith,Medium
103,Sales,80850.0,12,95,7000.0,Ali,Mansour,High
104,IT,95000.0,1,45,0.0,Sara,Lee,Low
105,Finance,70000.0,8,60,4000.0,Ben,Clark,Medium
106,Sales,60500.00000000001,4,82,2000.0,Eva,Green,High
107,HR,73500.0,2,55,0.0,Mona,Ray,Medium
108,IT,105000.0,10,91,8000.0,Leo,King,High
109,Finance,72000.0,6,78,4500.0,Tom,Cook,Medium
110,IT,88000.0,9,40,2500.0,Anna,Bell,Low
111,Sales,63800.00000000001,2,65,1500.0,Ryan,Gos,Medium
112,HR,62000.0,5,89,3500.0,Emma,Stone,High
113,IT,92000.0,11,77,6000.0,Will,Smith,Medium
114,Sales,59400.00000000001,1,30,1000.0,Kate,Wins,Low
115,Finance,75000.0,7,85,5000.0,Jack,Spar,High
116,IT,110000.0,15,98,9000.0,Bruce,Wayne,High
117,HR,63000.0,4,70,3200.0,Clark,Kent,Medium
118,Sales,64900.00000000001,3,66,2100.0,Diana,Prince,Medium
119,IT,98000.0,9,81,6500.0,Barry,Allen,High
120,Finance,77000.0,6,74,4800.0,Hal,Jordan,Medium
